Year,Type,Real,Pred_LSTM
1965,Fossil,93.74764,null
1966,Fossil,93.634895,null
1967,Fossil,93.69129,null
1968,Fossil,93.675,null
1969,Fossil,93.700485,null
1970,Fossil,93.722466,null
1971,Fossil,93.55796,null
1972,Fossil,93.43733,null
1973,Fossil,93.49328,null
1974,Fossil,92.717,null
1975,Fossil,92.26256,null
1976,Fossil,92.41345,null
1977,Fossil,92.075294,null
1978,Fossil,91.587364,null
1979,Fossil,91.461945,null
1980,Fossil,91.01732,null
1981,Fossil,90.36618,null
1982,Fossil,89.90039,null
1983,Fossil,89.32204,null
1984,Fossil,88.772156,null
1985,Fossil,88.14147,null
1986,Fossil,87.92539,null
1987,Fossil,87.80247,null
1988,Fossil,87.56034,null
1989,Fossil,87.620735,null
1990,Fossil,87.37608,null
1991,Fossil,87.017265,null
1992,Fossil,87.022575,null
1993,Fossil,86.51433,null
1994,Fossil,86.49636,null
1995,Fossil,86.137886,null
1996,Fossil,86.20363,null
1997,Fossil,86.21961,null
1998,Fossil,86.1011,null
1999,Fossil,85.997475,null
2000,Fossil,86.04497,null
2001,Fossil,86.20704,null
2002,Fossil,86.29217,null
2003,Fossil,86.885765,null
2004,Fossil,86.773224,null
2005,Fossil,86.95979,null
2006,Fossil,86.93086,null
2007,Fossil,87.204216,null
2008,Fossil,86.85323,null
2009,Fossil,86.56497,null
2010,Fossil,86.50988,null
2011,Fossil,86.68278,null
2012,Fossil,86.68147,null
2013,Fossil,86.34966,null
2014,Fossil,85.96608,null
2015,Fossil,85.69416,null
2016,Fossil,85.28296,null
2017,Fossil,84.99661,null
2018,Fossil,84.619255,null
2019,Fossil,84.09172,null
2020,Fossil,82.98475,null
2021,Fossil,82.950356,null
2022,Fossil,82.57288,null
2023,Fossil,82.14785,null
2024,Fossil,81.25719,null
2025,Fossil,null,83.29359998964607
2026,Fossil,null,83.3530820418784
2027,Fossil,null,83.50799360363499
2028,Fossil,null,83.74603683608935
2029,Fossil,null,84.11276998903095
1965,Renewable,6.088109,null
1966,Renewable,6.155143,null
1967,Renewable,6.0675287,null
1968,Renewable,6.03579,null
1969,Renewable,5.978705,null
1970,Renewable,5.8929,null
1971,Renewable,5.9273896,null
1972,Renewable,5.8859487,null
1973,Renewable,5.6497455,null
1974,Renewable,6.1681147,null
1975,Renewable,6.201238,null
1976,Renewable,5.8808265,null
1977,Renewable,5.8756404,null
1978,Renewable,6.1209283,null
1979,Renewable,6.2307334,null
1980,Renewable,6.4362164,null
1981,Renewable,6.6121817,null
1982,Renewable,6.804729,null
1983,Renewable,7.0058365,null
1984,Renewable,6.962811,null
1985,Renewable,6.92851,null
1986,Renewable,6.9085894,null
1987,Renewable,6.774538,null
1988,Renewable,6.7405643,null
1989,Renewable,6.629637,null
1990,Renewable,6.795954,null
1991,Renewable,6.917012,null
1992,Renewable,6.902818,null
1993,Renewable,7.2510247,null
1994,Renewable,7.2316523,null
1995,Renewable,7.4576488,null
1996,Renewable,7.3469806,null
1997,Renewable,7.43751,null
1998,Renewable,7.482252,null
1999,Renewable,7.4507895,null
2000,Renewable,7.4256287,null
2001,Renewable,7.1826315,null
2002,Renewable,7.1862054,null
2003,Renewable,6.975092,null
2004,Renewable,7.1525755,null
2005,Renewable,7.191536,null
2006,Renewable,7.3385572,null
2007,Renewable,7.383397,null
2008,Renewable,7.8546634,null
2009,Renewable,8.16082,null
2010,Renewable,8.369888,null
2011,Renewable,8.548672,null
2012,Renewable,8.962558,null
2013,Renewable,9.367213,null
2014,Renewable,9.732479,null
2015,Renewable,10.000407,null
2016,Renewable,10.430926,null
2017,Renewable,10.793239,null
2018,Renewable,11.201657,null
2019,Renewable,11.650606,null
2020,Renewable,12.780913,null
2021,Renewable,12.861119,null
2022,Renewable,13.503552000000001,null
2023,Renewable,13.942838,null
2024,Renewable,14.822139,null
2025,Renewable,null,14.086265227051555
2026,Renewable,null,14.31045975921464
2027,Renewable,null,14.476423983125656
2028,Renewable,null,14.590299173724711
2029,Renewable,null,14.579617411970974
